relation,prop-specific,n_pairs
pos,0.005224394598467988,1766
neg,0.0013311431332611544,1186
all,0.005587411847009834,1021
some,0.004976567107421167,745
few,0.0013311431332611544,1186
evidence,0.0062586787673579595,894
no_evidence_pos,0.00424630621605184,502
no_evidence_neg,0.0011800792439259076,1082
implied_category,0.0035422998334327886,106
typical_of_concept,0.009562895462338421,94
typical_of_property,0.005029566467201759,215
affording_activity,0.008088140397517964,130
afforded_usual,0.0012082476514062301,54
afforded_unusual,0.001572464485176732,42
variability_limited,0.006537031829151181,485
variability_open,0.004629912435746953,323
rare,0.0026807349399183807,110
unusual,0.0015055438000313019,301
impossible,0.000809362942465307,464
creative,0.002358931946205055,69
