relation,non-specific,n_pairs
pos,0.10607979599458742,1766
neg,0.05921691960657767,1186
all,0.1575682382133995,1021
some,0.07767775068290919,745
few,0.05921691960657767,1186
evidence,0.12729547776474665,894
no_evidence_pos,0.07686863988560534,502
no_evidence_neg,0.0595038050185109,1082
implied_category,0.06740850595183871,16
typical_of_concept,0.2170252907053049,4
affording_activity,0.33538830183567026,4
afforded_usual,0.4166666666666667,3
afforded_unusual,0.038059834374998464,20
variability_limited,0.09139213605395113,112
variability_open,0.06484667607438895,172
rare,0.07053890738685413,19
unusual,0.052046783625730994,81
impossible,0.07081666695119612,307
creative,0.04784057091248278,23
